component1,component2,component3,label
-1.040226,0.34460294,0.061514705,InfoVis
-0.8133469,1.223198,-0.12628238,InfoVis
-0.1902116,0.26532924,-0.16824019,InfoVis
-1.2540865,1.1475886,-0.041045494,InfoVis
-1.1984497,1.0802981,-0.24240683,InfoVis
-1.3986243,-0.41265553,-0.39477316,InfoVis
-1.2294005,2.4719942,0.06344837,InfoVis
-1.7868088,0.30775082,-0.40647534,InfoVis
2.0041819,3.419718,-0.27481902,InfoVis
2.1652603,3.329531,0.05834523,InfoVis
-0.70561457,0.7581495,0.0015031365,InfoVis
-1.3440025,0.21396151,-0.30608946,InfoVis
-1.3151547,3.9310536,0.42126626,InfoVis
-1.0797107,2.129972,-0.015209333,InfoVis
-1.4179769,0.51015085,-0.19332305,InfoVis
-0.74716437,1.2183013,0.19283453,InfoVis
-0.057649884,2.008515,0.09130581,InfoVis
-1.5831475,1.2139387,-0.12984674,InfoVis
-0.62026703,1.5257677,-0.34340057,InfoVis
-0.9141062,1.290039,0.08261892,InfoVis
-1.4783968,-0.81380594,-0.51715755,InfoVis
-0.16104488,3.1022065,0.40907934,InfoVis
-1.0589441,0.90509725,-0.36460698,InfoVis
-0.17849207,2.7905927,0.0932228,InfoVis
-1.4554045,-0.4653142,-0.42204848,InfoVis
-1.3014809,0.49194613,-0.2828248,InfoVis
-0.7925807,1.5804167,-0.19508164,InfoVis
-0.16357498,1.3708357,-0.1708579,InfoVis
-1.0129161,2.1544113,-0.06806295,InfoVis
-0.83394,0.2669916,-0.20025235,InfoVis
-1.12406,-2.0053828,-0.022688061,VAST
-1.2800568,-2.1738498,0.15291595,VAST
-1.5295855,0.95379907,-0.41247618,VAST
-1.5524011,-0.24986207,-0.63107586,VAST
-1.5011268,-1.315468,-0.18999347,VAST
-0.41539142,0.21010388,-0.1440322,VAST
-0.6985863,1.0800474,0.04983062,VAST
-0.4399718,0.17302616,-0.01596834,VAST
-1.5123432,-1.6460507,-0.29563108,VAST
-1.6548132,-0.29236212,-0.42141074,VAST
-1.0304646,-1.7387518,-0.057585903,VAST
-0.9660131,0.11051217,-0.38907054,VAST
-1.5319653,-1.4440621,-0.35693875,VAST
-1.2475144,-1.9190586,0.13185331,VAST
-1.5335363,-1.351456,-0.51752985,VAST
-1.295771,-0.83354366,-0.39684445,VAST
-1.6268508,-1.3214414,-0.36209056,VAST
-1.5602715,-1.878415,-0.16400695,VAST
-0.89963305,-0.49354059,-0.4001938,VAST
-1.3810924,-2.1934743,-0.0048529827,VAST
-1.2627914,-2.6001837,0.21233782,VAST
-1.2574868,-0.9367447,-0.4265377,VAST
-1.3131303,-1.94808,-0.07378284,VAST
-1.8544856,-0.61602414,-0.58339363,VAST
0.082400136,-2.769445,0.707719,VAST
-0.52498907,-1.0430489,-0.12889186,VAST
-1.2414082,1.1364439,0.4557413,InfoVis
-1.0592105,1.3425709,0.1356994,InfoVis
-1.4598408,0.68480635,-0.40091506,InfoVis
-0.5524779,-0.8944946,0.44562024,InfoVis
-0.9893823,3.4608002,0.26536867,InfoVis
-1.0668453,2.4452064,0.37213385,InfoVis
-1.6570989,-1.5537053,-0.6489965,InfoVis
-0.9701917,2.4698925,0.5544515,InfoVis
-1.0043616,3.0650482,0.09791708,InfoVis
-1.0163229,2.3608065,0.40808,InfoVis
-1.0900971,1.7796634,-0.15216132,InfoVis
-0.36317033,-0.40487516,0.09588078,InfoVis
-1.0131588,0.730046,-0.25558874,InfoVis
-1.1435782,0.25788823,0.016978543,InfoVis
-0.6857075,0.23962107,-0.12678784,InfoVis
-0.4704238,0.32629135,0.25776285,InfoVis
-1.5542275,1.4832864,0.10426635,InfoVis
-0.7334865,3.0483978,0.03982659,InfoVis
-1.6220207,2.1386952,-0.026510406,InfoVis
-0.20559415,2.718208,0.28337154,InfoVis
-1.4245659,0.6586248,0.03198674,InfoVis
-1.2415342,-1.3663149,-0.15652107,InfoVis
-0.9051011,2.7300634,0.4438849,InfoVis
-0.08820724,2.2227986,0.015682992,InfoVis
-1.3015273,-0.34647572,-0.1649965,InfoVis
-1.4086236,-0.85647964,-0.21158047,InfoVis
1.4072816,3.0414028,0.68405277,InfoVis
-1.1429678,-2.4763365,0.3253089,VAST
-1.2777973,-2.1650743,-0.09240673,VAST
-1.4349314,-1.6472664,-0.0118996985,VAST
-1.4323105,-1.960941,-0.17996831,VAST
-1.2880167,-1.7088064,0.36477947,VAST
-1.062261,-1.3673726,-0.22629784,VAST
-1.0658869,-2.4522161,0.12942182,VAST
-1.3293198,-2.5038779,0.19087324,VAST
-1.2552426,-2.0918455,0.31209388,VAST
-1.0279788,-2.3657603,0.5344853,VAST
-1.4337327,-1.3788184,-0.34830275,VAST
-1.2337409,-0.93844056,-0.2470175,VAST
-1.6724535,-1.7299795,-0.3612837,VAST
-1.5435028,-1.269568,-0.4196776,VAST
-1.4293191,-0.58658624,-0.41210118,VAST
-1.727742,-1.32591,0.09212923,VAST
-1.1560299,-0.30018628,-0.21319968,VAST
-1.4059213,-0.12465477,-0.29252717,VAST
-1.567422,-1.423529,-0.16308367,VAST
-1.2989676,-0.5649285,-0.530261,VAST
-1.4731786,-0.90951234,0.061084818,VAST
-1.4242938,-1.4807462,-0.5353757,VAST
-1.3316618,-0.23867443,0.06637363,VAST
-1.1805261,2.2629054,0.2726918,InfoVis
-0.6011373,2.4339776,-0.081631064,InfoVis
-1.2823441,0.47970155,-0.29787177,InfoVis
-1.2882266,-0.5476136,-0.011821353,InfoVis
-1.0619075,1.7414788,0.43093482,InfoVis
-0.68353176,1.0370328,0.06435158,InfoVis
-1.010523,0.354464,-0.13979886,InfoVis
-0.9315842,2.938659,0.09813536,InfoVis
-1.0248762,2.618747,0.14697637,InfoVis
-1.5260797,-0.8027681,0.016495304,InfoVis
-1.292964,-0.59659046,-0.18148082,InfoVis
-1.2151028,1.965014,-0.10125626,InfoVis
-0.9113109,1.4427186,-0.09362146,InfoVis
0.16298471,-0.36054507,0.043100696,InfoVis
-0.93032444,0.71218026,-0.29376265,InfoVis
1.7547092,3.3017483,-0.047530558,InfoVis
-0.7589873,1.9738755,0.75962037,InfoVis
-1.114967,2.5861094,0.008925802,InfoVis
-0.5005399,2.7376044,-0.060192157,InfoVis
-0.60785955,3.5257673,0.3427242,InfoVis
-1.3486971,1.1039191,-0.03556021,InfoVis
-0.8534872,2.4006298,0.12769201,InfoVis
-1.5787613,0.21013151,-0.38034353,InfoVis
-1.4242924,-0.0602623,-0.2872953,InfoVis
-1.2894212,-0.4404984,-0.40086758,InfoVis
-0.98040116,-0.67272943,-0.3720645,InfoVis
-1.0830446,-0.3937015,-0.2694172,InfoVis
-1.4421121,-0.39749628,-0.2981305,InfoVis
-1.3448986,-2.8108094,0.5941626,VAST
-1.2994151,-2.7155328,0.5208376,VAST
-1.2344092,-0.48339376,-0.35881463,VAST
-1.3250297,-1.8196332,0.17902632,VAST
-1.4295937,-1.2783757,0.0010816457,VAST
-1.4690012,-1.9805977,0.044926148,VAST
-1.3453406,-2.217569,0.2023577,VAST
-1.4470445,-1.3988112,-0.47181383,VAST
-1.562861,-1.312927,0.122418106,VAST
-1.5202901,-1.5587409,-0.16809441,VAST
-0.8994523,-1.8275561,0.28305733,VAST
-0.981589,-2.4574397,0.1998745,VAST
-1.2861491,0.7355779,-0.17735077,InfoVis
-0.99912554,2.850714,0.022848878,InfoVis
-0.96431047,0.47523648,0.12715007,InfoVis
-1.027178,1.9891737,0.7952369,InfoVis
-1.0282483,-0.03189199,-0.2793269,InfoVis
-1.4824177,-1.3881176,-0.12882821,InfoVis
